START,5,Characters,1,N/A,N/A,N/A
STOP,4,Characters,N/A,1,N/A,N/A
ATTEMPT,7,Characters,N/A,N/A,1,N/A
INTERMEDIATE,12,Characters,N/A,N/A,N/A,1
Gateway Name,23,Characters,2,2,2,2
Accounting ID,18,64-Bit Hex,3,3,3,3
Start Time in System Ticks,10,Decimal,4,4,4,4
Node Time Zone,23,Characters,5,5,5,5
Start Time (Date),10,mm/dd/yyyy,6,6,6,6
Start Time (Time),10,hh:mm:ss.d,7,7,7,7
Time Elapsed from Receipt of Setup Message to Policy Server/SoftSwitch Response,10,Decimal,8,8,8,8
Time Elapsed from Receipt of Setup Message to Receipt of Alerting/ProcProg,10,Decimal,9,9,9,N/A
Time Elapsed from Receipt of Setup Message to Service Established,10,Decimal,10,10,N/A,9
Intermediate Time (Date),10,mm/dd/yyyy,N/A,N/A,N/A,10
Intermediate Time (Time),10,hh:mm:ss.d,N/A,N/A,N/A,11
Disconnect Time (Date),10,mm/dd/yyyy,N/A,11,105,N/A
Disconnect Time (Time),10,hh:mm:ss.d,N/A,12,10,N/A
Time Elapsed from Receipt of Disconnect to Completion of Call,10,Decimal,N/A,13,11,N/A
Call Service Duration,10,Decimal,N/A,14,N/A,12
Call Disconnect Reason,3,Decimal,N/A,15,12,N/A
Service Delivered,22,Characters,11,16,13,13
Call Direction,12,Characters,12,17,14,14
Service Provider,23,Characters,13,18,15,15
Transit Network Selection Code,5,Characters,14,19,16,16
Calling Number,30,Characters,15,20,17,17
Called Number,30,Characters,16,21,18,18
Extra Called Address Digits,30,Characters,17,22,19,19
Number of Called Num Translations,1,Decimal,18,23,20,20
Called Number Before Translation #1,30,Characters,19,24,21,21
Translation Type 1,1,Decimal,20,25,22,22
Called Number Before Translation #2,30,Characters,21,26,23,23
Translation Type 2,1,Decimal,22,27,24,24
Billing Number,30,Characters,23,28,25,25
Route Label,23,Characters,24,29,26,26
Route Attempt Number,5,Decimal,25,30,27,27
Route Selected,63,Characters,26,31,28,28
Egress Local Gateway Signaling IP Address,39,Dotted Decimal,27,32,29,29
Egress Remote Gateway Signaling IP Address,39,Dotted Decimal,28,33,30,30
Ingress Trunk Group Name,23,Characters,29,34,31,31
